type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2022-02-10 16:06:37+0000,3513,0.0,1.8000001,0.0,0.0,326.0
12,2022-02-10 15:51:12+0000,528,0.0,1.8000001,0.0,0.0,74.0
16,2022-02-09 17:50:07+0000,3866,0.0,1.8000001,0.0,0.0,386.0
12,2022-02-09 17:36:35+0000,617,0.0,1.8000001,0.0,0.0,71.0
16,2022-02-06 18:58:34+0000,3754,0.0,1.8000001,0.0,0.0,275.0
12,2022-02-06 16:23:57+0000,742,0.0,1.8000001,0.0,0.0,97.0
16,2022-02-05 18:28:42+0000,3612,0.0,1.8000001,0.0,0.0,390.0
16,2022-02-04 16:39:17+0000,3410,0.0,1.8000001,0.0,0.0,268.0
16,2022-01-31 17:04:47+0000,3993,0.0,1.8000001,0.0,0.0,383.0
16,2022-01-27 16:17:40+0000,2718,0.0,1.8000001,0.0,0.0,204.0
16,2022-01-26 16:51:52+0000,3323,0.0,1.8000001,0.0,0.0,248.0
16,2022-01-23 16:24:29+0000,1151,0.0,1.8000001,0.0,0.0,93.0
12,2022-01-23 16:11:19+0000,779,0.0,1.8000001,0.0,0.0,113.0
16,2022-01-22 18:34:21+0000,3802,0.0,1.8000001,0.0,0.0,395.0
16,2022-01-21 17:24:30+0000,3762,0.0,1.8000001,0.0,0.0,328.0
16,2022-01-16 17:40:21+0000,3912,0.0,1.8000001,0.0,0.0,299.0
12,2022-01-16 14:01:36+0000,565,0.0,1.8000001,0.0,0.0,94.0
16,2022-01-15 17:43:37+0000,2481,0.0,1.8000001,0.0,0.0,251.0
16,2022-01-09 16:28:33+0000,4616,0.0,1.8000001,0.0,0.0,456.0
16,2022-01-08 17:54:44+0000,3805,0.0,1.8000001,0.0,0.0,433.0
16,2022-01-07 19:21:06+0000,3038,0.0,1.8000001,0.0,0.0,278.0
16,2021-12-28 18:13:52+0000,3146,0.0,1.8000001,0.0,0.0,332.0
16,2021-12-23 19:05:27+0000,3632,0.0,1.8000001,0.0,0.0,313.0
16,2021-12-16 17:36:31+0000,3515,0.0,1.8000001,0.0,0.0,312.0
16,2021-12-15 17:42:26+0000,1237,0.0,1.8000001,0.0,0.0,89.0
16,2021-12-12 16:37:20+0000,3262,0.0,1.8000001,0.0,0.0,260.0
16,2021-12-11 16:21:47+0000,3864,0.0,1.8000001,0.0,0.0,400.0
16,2021-12-10 16:23:46+0000,3566,0.0,1.8000001,0.0,0.0,464.0
12,2021-12-09 15:03:25+0000,1039,0.0,1.8000001,0.0,0.0,182.0
16,2021-12-05 15:27:41+0000,3276,0.0,1.8000001,0.0,0.0,202.0
16,2021-12-04 17:33:22+0000,3843,0.0,1.8000001,0.0,0.0,266.0
8,2021-12-04 17:10:56+0000,850,1.7893168,0.51043296,668.0,1.271,25.0
